iter	Passed	Remaining
411	3363	16232
412	3368	16207
413	3374	16189
414	3379	16164
415	3384	16142
416	3389	16117
417	3394	16093
418	3416	16151
419	3420	16127
420	3426	16106
421	3430	16081
422	3435	16058
423	3440	16035
424	3451	16040
425	3465	16057
426	3470	16033
427	3475	16011
428	3480	15989
429	3484	15964
430	3489	15940
431	3497	15934
432	3513	15960
433	3519	15941
434	3524	15919
435	3529	15898
436	3534	15874
437	3538	15851
438	3555	15882
439	3563	15872
440	3568	15851
441	3573	15828
442	3578	15806
443	3583	15786
444	3587	15762
445	3604	15790
446	3613	15785
447	3618	15764
448	3623	15743
449	3628	15722
450	3633	15702
451	3638	15679
452	3654	15707
453	3662	15698
454	3667	15675
455	3671	15653
456	3676	15632
457	3681	15610
458	3686	15591
459	3707	15636
460	3712	15617
461	3718	15597
462	3722	15574
463	3727	15554
464	3732	15532
465	3737	15510
466	3757	15552
467	3762	15532
468	3767	15513
469	3772	15491
470	3776	15468
471	3782	15449
472	3786	15427
473	3807	15470
474	3811	15447
475	3816	15427
476	3822	15410
477	3827	15389
478	3832	15370
479	3837	15350
480	3855	15381
481	3860	15362
482	3865	15342
483	3870	15321
484	3875	15300
485	3879	15279
486	3884	15260
487	3906	15304
488	3911	15286
489	3916	15267
490	3921	15245
491	3926	15226
492	3931	15206
493	3936	15186
494	3953	15216
495	3958	15196
496	3963	15176
497	3968	15156
498	3973	15136
499	3978	15116
500	3982	15095
501	3998	15117
502	4006	15110
503	4011	15092
504	4017	15075
505	4022	15056
506	4027	15037
507	4032	15017
508	4039	15005
509	4053	15022
510	4058	15003
511	4063	14982
512	4067	14962
513	4072	14941
514	4077	14922
515	4082	14904
516	4100	14935
517	4105	14915
518	4111	14900
519	4115	14880
520	4120	14862
521	4125	14843
522	4130	14823
523	4140	14823
524	4152	14830
525	4157	14812
526	4162	14794
527	4167	14775
528	4172	14757
529	4177	14739
530	4182	14720
531	4201	14752
532	4206	14736
533	4212	14719
534	4218	14706
535	4223	14688
536	4228	14671
537	4237	14665
538	4245	14660
539	4252	14647
540	4257	14629
541	4262	14612
542	4268	14596
543	4273	14579
544	4278	14563
545	4285	14551
546	4293	14545
547	4299	14531
